SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,Label
192.168.20.191,176.103.130.131,50749,443,14-01-2020 15:49,95.08155,62311,655.3427032,65358,687.3888783,7474.676771,86.45621303,135.6737513,102,54,1.168467256,0.944683424,0.637236106,670.5858142,25.89567173,45.06527704,48.811292,1.49506,-0.43397387,1.682528938,0.574625819,0.001053454,0.032456951,0.027624168,0.026854,0.026822,0.071186682,0.024714815,1.174947648,Benign
192.168.20.191,176.103.130.131,50749,443,14-01-2020 15:50,122.309318,93828,767.1369732,101232,827.6720176,10458.1186,102.2649432,141.2454743,114,54,0.799261412,0.853131793,0.724022796,708.4658776,26.61702233,52.28790285,48.830314,31.719656,0.389704243,0.772747853,0.509047425,0.001169641,0.034200013,0.024387092,0.0210435,0.026981,0.293297421,-0.07584524,1.402381756,Benign
192.168.20.191,176.103.130.131,50749,443,14-01-2020 15:52,120.958413,38784,320.6391274,38236,316.1086447,7300.293933,85.44175755,133.7152778,89,54,1.570026614,0.932977973,0.638982762,1358.911235,36.86341322,50.31611371,39.770747,0.417528,0.8581978,1.353607313,0.732636337,0.000785155,0.028020624,0.029238467,0.0269215,0.026855,0.248063714,0.085061157,0.958347923,Benign
192.168.20.205,9.9.9.11,50224,443,30-03-2020 19:23,127.502031,952325,7469.096708,1334141,10463.6843,21708.41613,147.3377621,178.7698202,165,165,0.280372526,0.093457509,0.824175814,1036.272948,32.19119364,53.2370604,50.896862,0,0.218090553,1.653777148,0.604676393,0.001299311,0.036045954,0.01240731,0.007977,2.30E-05,0.368721827,0.343570045,2.905219095,Malicious
192.168.20.205,9.9.9.11,50230,443,30-03-2020 19:24,36.109819,17234,477.2663081,28476,788.594371,19924.29061,141.1534293,157.6206897,165,68,-0.156835942,0.634916843,0.895526023,27.87837282,5.279997426,3.037201041,2.0487055,0,0.561645468,0.57522775,1.73844186,0.01474346,0.121422649,0.034107563,0.01533,0.000341,0.463938895,0.278091142,3.559991911,Malicious
192.168.20.205,9.9.9.11,50232,443,30-03-2020 19:25,120.044984,177479,1478.43745,388205,3233.829412,10822.04623,104.0290643,177.7203896,165,68,0.366831798,1.054708992,0.585352444,1264.292491,35.55689091,59.13091518,59.120644,0,0.000866598,1.662994533,0.601324887,9.752E-05,0.009875223,0.016724565,0.015431,0.015272,0.39297284,0.147091849,0.590462178,Malicious
9.9.9.11,192.168.20.205,443,50224,30-03-2020 19:25,14.978902,346,23.0991564,228,15.22140942,805.7142857,28.38510676,82,68,68,1.479649182,0.493216394,0.346159839,27.42684897,5.23706492,12.82813029,14.963575,0,-1.223268041,2.449488498,0.408248498,5.29E-10,0.000023,0.000051,0.000051,2.80E-05,0,1,0.450980392,Malicious
192.168.20.205,9.9.9.11,50232,443,30-03-2020 19:27,110.474569,156057,1412.605647,345058,3123.41567,10108.6971,100.5420166,178.7780949,165,68,0.411114538,1.101808962,0.562384428,1030.275669,32.09790755,56.20682254,57.549461,0,-0.12548841,1.751105503,0.571067819,0.000121283,0.011012834,0.017521275,0.015522,0.015398,0.544621444,0.192800072,0.628540661,Malicious
192.168.20.207,1.1.1.1,33926,443,01-04-2020 00:44,121.150106,42773,353.0578834,72102,595.1459919,13364.25937,115.6038899,125.2726281,87,56,0.993200873,0.599224024,0.922818429,981.8788891,31.33494677,64.13404853,65.521304,0,-0.132815493,2.046725945,0.488585198,0.365111567,0.604244626,0.156678538,0.0019375,5.00E-06,0.76827016,0.259288261,3.856588346,Malicious
1.1.1.1,192.168.20.207,443,33926,01-04-2020 00:46,120.653838,78776,652.909193,46073,381.8610395,7979.98265,89.33074862,121.5666991,87,87,1.160855573,0.386951858,0.734829104,1199.921257,34.63987958,56.37114102,55.775982,0,0.051543974,1.627348066,0.61449669,8.72E-09,9.33601E-05,5.37617E-05,0.000037,2.80E-05,0.538614371,0.27593902,1.736554534,Malicious
1.1.1.1,192.168.20.207,443,33926,01-04-2020 00:48,120.71868,78719,652.0863217,46047,381.4405525,8141.129962,90.22821046,121.6042885,87,87,1.150558844,0.383519615,0.741982142,1213.045827,34.82880743,56.54462935,55.779799,0,0.065879117,1.623501737,0.615952529,8.74E-07,0.000934731,0.000110021,0.000032,2.40E-05,0.25040834,0.092028061,8.495894942,Malicious
